REGION,TECHNOLOGY,TIMESLICE,YEAR,VALUE
REGION1,ATSODIFH1,S03B2,2034,0.264940583
REGION1,ATSODIFH1,S03B2,2035,0.264940583
REGION1,ATSODIFH1,S03B2,2036,0.264940583
REGION1,ATSODIFH1,S03B2,2037,0.264940583
REGION1,ATSODIFH1,S03B2,2038,0.264940583
REGION1,ATSODIFH1,S03B2,2039,0.264940583
REGION1,ATSODIFH1,S03B2,2040,0.264940583
REGION1,ATSODIFH1,S03B2,2041,0.264940583
REGION1,ATSODIFH1,S03B2,2042,0.264940583
REGION1,ATSODIFH1,S03B2,2043,0.264940583
REGION1,ATSODIFH1,S03B2,2044,0.264940583
REGION1,ATSODIFH1,S03B2,2045,0.264940583
REGION1,ATSODIFH1,S03B2,2046,0.264940583
REGION1,ATSODIFH1,S03B2,2047,0.264940583
REGION1,ATSODIFH1,S03B2,2048,0.264940583
REGION1,ATSODIFH1,S03B2,2049,0.264940583
REGION1,ATSODIFH1,S03B2,2050,0.264940583
REGION1,ATSODIFH1,S03B2,2051,0.264940583
REGION1,ATSODIFH1,S03B2,2052,0.264940583
REGION1,ATSODIFH1,S03B2,2053,0.264940583
REGION1,ATSODIFH1,S03B2,2054,0.264940583
REGION1,ATSODIFH1,S03B2,2055,0.264940583
REGION1,ATSODIFH1,S03B2,2056,0.264940583
REGION1,ATSODIFH1,S03B2,2057,0.264940583
REGION1,ATSODIFH1,S03B2,2058,0.264940583
REGION1,ATSODIFH1,S03B2,2059,0.264940583
REGION1,ATSODIFH1,S03B2,2060,0.264940583
REGION1,ATSODIFH1,S03B3,2015,0.0
REGION1,ATSODIFH1,S03B3,2016,0.0
REGION1,ATSODIFH1,S03B3,2017,0.0
REGION1,ATSODIFH1,S03B3,2018,0.0
REGION1,ATSODIFH1,S03B3,2019,0.0
REGION1,ATSODIFH1,S03B3,2020,0.0
REGION1,ATSODIFH1,S03B3,2021,0.0
REGION1,ATSODIFH1,S03B3,2022,0.0
REGION1,ATSODIFH1,S03B3,2023,0.0
REGION1,ATSODIFH1,S03B3,2024,0.0
REGION1,ATSODIFH1,S03B3,2025,0.0
REGION1,ATSODIFH1,S03B3,2026,0.0
REGION1,ATSODIFH1,S03B3,2027,0.0
REGION1,ATSODIFH1,S03B3,2028,0.0
REGION1,ATSODIFH1,S03B3,2029,0.0
REGION1,ATSODIFH1,S03B3,2030,0.0
REGION1,ATSODIFH1,S03B3,2031,0.0
REGION1,ATSODIFH1,S03B3,2032,0.0
REGION1,ATSODIFH1,S03B3,2033,0.0
REGION1,ATSODIFH1,S03B3,2034,0.0
REGION1,ATSODIFH1,S03B3,2035,0.0
REGION1,ATSODIFH1,S03B3,2036,0.0
REGION1,ATSODIFH1,S03B3,2037,0.0
REGION1,ATSODIFH1,S03B3,2038,0.0
REGION1,ATSODIFH1,S03B3,2039,0.0
REGION1,ATSODIFH1,S03B3,2040,0.0
REGION1,ATSODIFH1,S03B3,2041,0.0
REGION1,ATSODIFH1,S03B3,2042,0.0
REGION1,ATSODIFH1,S03B3,2043,0.0
REGION1,ATSODIFH1,S03B3,2044,0.0
REGION1,ATSODIFH1,S03B3,2045,0.0
REGION1,ATSODIFH1,S03B3,2046,0.0
REGION1,ATSODIFH1,S03B3,2047,0.0
REGION1,ATSODIFH1,S03B3,2048,0.0
REGION1,ATSODIFH1,S03B3,2049,0.0
REGION1,ATSODIFH1,S03B3,2050,0.0
REGION1,ATSODIFH1,S03B3,2051,0.0
REGION1,ATSODIFH1,S03B3,2052,0.0
