REGION,EMISSION,YEAR,VALUE
REGION1,CO2,2032,453497.0996
REGION1,CO2,2033,431387.0986
REGION1,CO2,2034,409673.9479
REGION1,CO2,2035,388351.9216
REGION1,CO2,2036,367415.3683
REGION1,CO2,2037,346858.7109
REGION1,CO2,2038,326676.4452
REGION1,CO2,2039,306863.1389
REGION1,CO2,2040,287413.431
REGION1,CO2,2041,268322.031
REGION1,CO2,2042,249583.7177
REGION1,CO2,2043,231193.3384
REGION1,CO2,2044,213145.8083
REGION1,CO2,2045,195436.1095
REGION1,CO2,2046,178059.2901
REGION1,CO2,2047,161010.4635
REGION1,CO2,2048,144284.8075
REGION1,CO2,2049,127877.5636
REGION1,CO2,2050,111784.036
REGION1,CO2,2051,95999.59126
REGION1,CO2,2052,80519.657
REGION1,CO2,2053,65339.72147
REGION1,CO2,2054,50455.33268
REGION1,CO2,2055,35862.09769
REGION1,CO2,2056,21555.68187
REGION1,CO2,2057,7531.808159
REGION1,CO2,2058,0.0
REGION1,CO2,2059,0.0
REGION1,CO2,2060,0.0
REGION1,CYSO,2015,3.600648
REGION1,CYSO,2016,3.8686032
REGION1,CYSO,2017,4.1365584
REGION1,CYSO,2018,4.4045136
REGION1,CYSO,2019,4.6724688
REGION1,CYSO,2020,4.940424
REGION1,CYSO,2021,4.9990392
REGION1,CYSO,2022,5.0576544
REGION1,CYSO,2023,5.1162696
REGION1,CYSO,2024,5.1748848
REGION1,CYSO,2025,5.2335
REGION1,CYSO,2026,5.4595872
REGION1,CYSO,2027,5.6856744
REGION1,CYSO,2028,5.9117616
REGION1,CYSO,2029,6.1378488
REGION1,CYSO,2030,6.363936
REGION1,CYSO,2031,6.405804
REGION1,CYSO,2032,6.447672
REGION1,CYSO,2033,6.48954
REGION1,CYSO,2034,6.531408
REGION1,CYSO,2035,6.573276
REGION1,CYSO,2036,6.6318912
REGION1,CYSO,2037,6.6905064
REGION1,CYSO,2038,6.7491216
REGION1,CYSO,2039,6.8077368
REGION1,CYSO,2040,6.866352
REGION1,CYSO,2041,7.243164
REGION1,CYSO,2042,7.619976
REGION1,CYSO,2043,7.996788
REGION1,CYSO,2044,8.3736
REGION1,CYSO,2045,8.750412
REGION1,CYSO,2046,8.9095104
REGION1,CYSO,2047,9.0686088
REGION1,CYSO,2048,9.2277072
REGION1,CYSO,2049,9.3868
REGION1,CYSO,2050,9.545904
REGION1,CYSO,2051,9.68909256
REGION1,CYSO,2052,9.834428948
REGION1,CYSO,2053,9.981945383
REGION1,CYSO,2054,10.13167456
REGION1,CYSO,2055,10.28364968
REGION1,CYSO,2056,10.43790443
REGION1,CYSO,2057,10.59447299
REGION1,CYSO,2058,10.75339009
REGION1,CYSO,2059,10.91469094
REGION1,CYSO,2060,11.0784113
REGION1,CYWI,2015,0.879228
REGION1,CYWI,2016,1.004832
REGION1,CYWI,2017,1.130436
REGION1,CYWI,2018,1.25604
REGION1,CYWI,2019,1.381644
REGION1,CYWI,2020,1.507248
REGION1,CYWI,2021,1.507248
REGION1,CYWI,2022,1.507248
REGION1,CYWI,2023,1.507248
REGION1,CYWI,2024,1.507248
REGION1,CYWI,2025,1.507248
REGION1,CYWI,2026,1.5407424
REGION1,CYWI,2027,1.5742368
REGION1,CYWI,2028,1.6077312
REGION1,CYWI,2029,1.6412256
REGION1,CYWI,2030,1.67472
REGION1,CYWI,2031,1.67472
REGION1,CYWI,2032,1.67472
REGION1,CYWI,2033,1.67472
REGION1,CYWI,2034,1.67472
REGION1,CYWI,2035,1.67472
REGION1,CYWI,2036,1.6830936
REGION1,CYWI,2037,1.6914672
REGION1,CYWI,2038,1.6998408
REGION1,CYWI,2039,1.7082144
REGION1,CYWI,2040,1.716588
REGION1,CYWI,2041,1.7249616
REGION1,CYWI,2042,1.7333352
REGION1,CYWI,2043,1.7417088
REGION1,CYWI,2044,1.7500824
REGION1,CYWI,2045,1.758456
REGION1,CYWI,2046,2.0682792
REGION1,CYWI,2047,2.3781024
REGION1,CYWI,2048,2.6879256
REGION1,CYWI,2049,2.9977
REGION1,CYWI,2050,3.307572
REGION1,CYWI,2051,3.337340148
REGION1,CYWI,2052,3.367376209
REGION1,CYWI,2053,3.397682595
REGION1,CYWI,2054,3.428261739
REGION1,CYWI,2055,3.459116094
REGION1,CYWI,2056,3.490248139
REGION1,CYWI,2057,3.521660372
REGION1,CYWI,2058,3.553355316
REGION1,CYWI,2059,3.585335514
REGION1,CYWI,2060,3.617603533
REGION1,CZHO,2015,8.708544
REGION1,CZHO,2016,8.79228
REGION1,CZHO,2017,8.876016
REGION1,CZHO,2018,8.959752
REGION1,CZHO,2019,9.043488
REGION1,CZHO,2020,9.127224
REGION1,CZHO,2021,9.085356
REGION1,CZHO,2022,9.043488
REGION1,CZHO,2023,9.00162
REGION1,CZHO,2024,8.959752
REGION1,CZHO,2025,8.917884
REGION1,CZHO,2026,8.9764992
REGION1,CZHO,2027,9.0351144
REGION1,CZHO,2028,9.0937296
REGION1,CZHO,2029,9.1523448
REGION1,CZHO,2030,9.21096
REGION1,CZHO,2031,9.3281904
REGION1,CZHO,2032,9.4454208
REGION1,CZHO,2033,9.5626512
REGION1,CZHO,2034,9.6798816
REGION1,CZHO,2035,9.797112
REGION1,CZHO,2036,9.9562104
REGION1,CZHO,2037,10.1153088
REGION1,CZHO,2038,10.2744072
REGION1,CZHO,2039,10.4335056
REGION1,CZHO,2040,10.592604
REGION1,CZHO,2041,10.9610424
REGION1,CZHO,2042,11.3294808
REGION1,CZHO,2043,11.6979192
REGION1,CZHO,2044,12.0663576
REGION1,CZHO,2045,12.434796
REGION1,CZHO,2046,12.7362456
REGION1,CZHO,2047,13.0376952
REGION1,CZHO,2048,13.3391448
REGION1,CZHO,2049,13.6406
REGION1,CZHO,2050,13.942044
REGION1,CZHO,2051,14.22088488
REGION1,CZHO,2052,14.50530258
REGION1,CZHO,2053,14.79540863
REGION1,CZHO,2054,15.0913168
REGION1,CZHO,2055,15.39314314
REGION1,CZHO,2056,15.54707457
REGION1,CZHO,2057,15.70254531
REGION1,CZHO,2058,15.85957077
REGION1,CZHO,2059,16.01816648
REGION1,CZHO,2060,16.17834814
REGION1,CZSO,2015,8.442345311
REGION1,CZSO,2016,8.989888253
REGION1,CZSO,2017,9.537431195
REGION1,CZSO,2018,10.08497414
REGION1,CZSO,2019,10.63251708
REGION1,CZSO,2020,11.18006002
REGION1,CZSO,2021,11.20371493
REGION1,CZSO,2022,11.22736985
REGION1,CZSO,2023,11.25102476
REGION1,CZSO,2024,11.27467967
REGION1,CZSO,2025,11.29833459
REGION1,CZSO,2026,11.66453614
REGION1,CZSO,2027,12.0307377
REGION1,CZSO,2028,12.39693926
REGION1,CZSO,2029,12.76314082
REGION1,CZSO,2030,13.12934238
REGION1,CZSO,2031,13.57362554
REGION1,CZSO,2032,14.0179087
REGION1,CZSO,2033,14.46219186
REGION1,CZSO,2034,14.90647502
REGION1,CZSO,2035,15.35075818
REGION1,CZSO,2036,15.67147513
REGION1,CZSO,2037,15.99219208
REGION1,CZSO,2038,16.31290903
REGION1,CZSO,2039,16.63362598
REGION1,CZSO,2040,16.95434293
REGION1,CZSO,2041,17.30837394
REGION1,CZSO,2042,17.66240495
REGION1,CZSO,2043,18.01643597
REGION1,CZSO,2044,18.37046698
REGION1,CZSO,2045,18.724498
REGION1,CZSO,2046,19.42109066
REGION1,CZSO,2047,20.11768332
REGION1,CZSO,2048,20.81427597
REGION1,CZSO,2049,21.5109
REGION1,CZSO,2050,22.20746129
REGION1,CZSO,2051,22.85366111
REGION1,CZSO,2052,23.45130232
REGION1,CZSO,2053,24.00253045
REGION1,CZSO,2054,24.50970516
REGION1,CZSO,2055,24.9753187
REGION1,CZSO,2056,25.40192887
REGION1,CZSO,2057,25.7921049
REGION1,CZSO,2058,26.14838486
REGION1,CZSO,2059,26.47324276
REGION1,CZSO,2060,26.76906416
REGION1,CZWI,2015,1.842192
REGION1,CZWI,2016,2.0180376
REGION1,CZWI,2017,2.1938832
REGION1,CZWI,2018,2.3697288
REGION1,CZWI,2019,2.5455744
REGION1,CZWI,2020,2.72142
REGION1,CZWI,2021,2.7716616
REGION1,CZWI,2022,2.8219032
REGION1,CZWI,2023,2.8721448
REGION1,CZWI,2024,2.9223864
REGION1,CZWI,2025,2.972628
REGION1,CZWI,2026,3.0061224
REGION1,CZWI,2027,3.0396168
REGION1,CZWI,2028,3.0731112
REGION1,CZWI,2029,3.1066056
REGION1,CZWI,2030,3.1401
REGION1,CZWI,2031,3.1652208
REGION1,CZWI,2032,3.1903416
REGION1,CZWI,2033,3.2154624
REGION1,CZWI,2034,3.2405832
REGION1,CZWI,2035,3.265704
